beside	ondoan
devious	bihurri
mischievous	bihurri
tortuous	bihurri
splendid	bikain
excellent	bikain
glorious	bikain
glorious	loriatsu
magnificent	bikain
superb	bikain
notable	bikain
remarkable	bikain
consummate	bikain
elite	bikain
eminent	bikain
fine	bikain
fine	fin
fine	mehe
gorgeous	bikain
prize	bikain
sensational	bikain
sterling	bikain
stunning	bikain
stupendous	bikain
sublime	bikain
superlative	bikain
super	bikain
swell	bikain
terrific	bikain
wonderful	bikain
wonderful	miragarri
twin	biki
double	bikoitz
twofold	bikoitz
nude	biluz
naked	biluz
bare	biluzi
biodegradable	biodegradagarri
biological	biologiko
rotary	birakari
round	biribil
virgin	birjina
virtuoso	birtuoso
obvious	bistako
eccentric	bitxi
flamboyant	bitxi
grotesque	bitxi
grotesque	grotesko
quaint	bitxi
queer	bitxi
whimsical	bitxi
alive	bizi
alive	bizidun
intense	bizi
intense	min
agile	bizi
fiery	bizi
lively	bizi
lively	bizidun
living	bizi
living	bizidun
sprightly	bizi
spry	bizi
vibrant	bizi
vivacious	bizi
vivid	bizi
gaudy	bizibizi
lurid	bizibizi
nonliving	ezbizidun
live	bizidun
inanimate	bizigabe
inert	bizigabe
stimulating	bizigarri
depraved	biziotsu
vital	bizitzeko
nimble	bizkor
profane	blasfemari
volcanic	bolkaniko
voluntary	boluntario
voluntary	borondatezko
violent	bortitz
potent	boteretsu
brazilian	brasildar
british	britainiar
interminable	bukaezin
bourgeois	burges
bureaucratic	burokratiko
unreasonable	burugabe
independent	burujabe
independent	independente
dejected	burumakur
bald	burusoil
soggy	busti
wet	busti
busti	busti
rueful	damutu
danish	daniar
untenable	defendaezin
tenable	defendagarri
deceased	defuntu
garish	deigarri
showy	deigarri
lamentable	deitoragarri
regrettable	deitoragarri
regrettable	negargarri
decadent	dekadente
socalled	delako
dainty	delikatu
delicate	delikatu
delicate	fin
demographical	demografiko
democrat	demokrata
democratic	demokratiko
dense	dentso
dense	zarratu
diverse	desberdin
varied	desberdin
era	desberdin
dissimilar	desberdin
unequal	desberdin
variant	desberdin
inadequate	desegoki
inadequate	eskas
inappropriate	desegoki
inappropriate	ezegoki
improper	desegoki
unsuitable	desegoki
uncomfortable	deseroso
desirable	desiragarri
decent	dezente
decent	egoki
diabetic	diabetiko
diagonal	diagonal
fun	dibertigarri
amusing	dibertigarri
funny	dibertigarri
funny	grazioso
unlike	diferente
unlike	ezberdin
digital	digital
dynamic	dinamiko
diplomatic	diplomatiko
radiant	dirdiratsu
radiant	distiratsu
miserly	diruzale
indiscreet	diskreziorikgabe
soluble	disolbagarri
solvent	disolbatzaile
brilliant	distiratsu
brilliant	jenial
shiny	distiratsu
shiny	zilar
glossy	distiratsu
unruly	diziplinarikgabe
exact	doidoi
vile	doilor
villain	doilor
documentary	dokumental
elegant	dotore
fancy	dotore
chic	dotore
graceful	dotore
stylish	dotore
welldressed	dotore
dramatic	dramatiko
dual	dual
tentative	dudatsu
dignified	duin
worthy	duin
worthy	merezitako
evolutionary	ebolutibo
beautiful	eder
beautiful	galant
beautiful	polit
handsome	eder
handsome	erakargarri
goodlooking	eder
lovely	eder
lovely	preziatu
nice	eder
nice	sinpatiko
effervescent	eferbeszente
avid	egarri
thirsty	egartsu
actual	egiazko
real	egiazko
egin	egiazko
recent	gertatuberri
feasible	egingarri
manageable	egingarri
practicable	egingarri
workable	egingarri
structural	egiturazko
appropriate	egoki
convenient	egoki
timely	egoki
pertinent	egoki
relevant	egoki
apt	egoki
eligible	egoki
expedient	egoki
fit	egoki
fitting	egoki
opportune	egoki
stable	egonkor
stubborn	egoskor
egocentric	egozentriko
daily	eguneko
daily	eguneroko
solar	eguzkiko
sunny	eguzkitsu
textile	ehun
ehun	ehun
secular	laiko
tempestuous	ekaiztsu
eastern	ekialdeko
oriental	ekialdeko
persistent	ekin
persistent	etengabe
ecological	ekologiko
economic	ekonomiko
economical	ekonomiko
budget	ekonomiko
equatorial	ekuatorial
eloquent	eleeder
bilingual	elebidun
electrical	elektriko
electric	elektriko
electromagnetic	elektromagnetiko
electronic	elektroniko
alimentary	elikagai
nutritious	elikagarri
devout	elizkoi
mutual	elkarrekiko
reciprocal	elkarrekiko
elkarren	elkarrekiko
interactive	elkarreragile
perpendicular	elkarzut
snowy	elurtsu
camp	emagizon
effeminate	emagizon
fertile	emankor
productive	emankor
productive	oparo
productive	produktibo
fruitful	emankor
generous	emankor
prolific	emankor
emotional	emoziozko
emotional	hunkigarri
endocrine	endokrino
deceptive	engainagarri
empirical	enpiriko
business	enpresen
audible	entzungarri
audible	ozen
audible	soinudun
renowned	entzutetsu
lukewarm	epel
mild	epel
mild	suabe
tepid	epel
epidemic	epidemiko
epic	epiko
crucial	erabakigarri
crucial	gurutzeantzeko
radical	erabateko
radical	erradikal
cutting	erabateko
cutting	zorrotz
total	erabateko
userfriendly	erabilerraz
functional	erabilgarri
functional	funtzional
handy	erabilgarri
trite	erabili
motive	eragile
operative	eragingarri
effective	eraginkor
efficient	eraginkor
efficient	jantzi
attractive	erakargarri
appealing	erakargarri
glamorous	erakargarri
taking	erakargarri
patient	eramanhandiko
portable	eramangarri
sticky	eranskor
tacky	eranskor
derivative	eratorri
mediaeval	erdiAroko
erdi	erdiAroko
median	erdibitzaile
intermediate	erdiko
mediocre	erdipurdiko
mediocre	nolahalako
exemplary	ereduzko
stupid	ergel
stupid	tonto
fatuous	ergel
